formula,coord,eps_2p,E_O-OH,E_O,E_OH
LaIrO3,1,-2.63,1.41,-2.41,-3.82
LaMgO3,1,-0.28,3.34,2.6,-0.74
LaNiO3,1,-1.5,2.39,0.85,-1.55
LaReO3,1,-4.32,-0.25,-4.23,-3.98
LaTiO3,2,-4.97,-1.56,N/A,N/A
LaZnO3,1,-0.71,3.06,2.5,-0.56
NaHfO3,2,-1.34,2.44,N/A,N/A
NaOsO3,2,-4.2,0.24,N/A,N/A
NaSiO3,2,-2.62,1.94,N/A,N/A
NaSnO3,2,-1.57,2.53,N/A,N/A
NaTaO3,2,-4.75,-1.29,N/A,N/A
NaTiO3,2,-1.57,2.43,N/A,N/A
NaZrO3,2,-1.24,2.51,N/A,N/A
SrAgO3,1,-0.9,2.91,2.12,-0.79
SrAlO3,1,-0.8,3.04,2.25,-0.79
SrAlO3,2,-1.64,2.33,N/A,N/A
SrAuO3,1,-1.27,2.78,1.71,-1.06
SrGaO3,1,-0.73,3.11,2.38,-0.73
SrGeO3,1,-1.04,3.04,1.22,-1.83
SrGeO3,2,-2.46,1.59,N/A,N/A
SrHfO3,1,-0.44,3.22,1.53,-1.69
SrHfO3,2,-2.54,-1.04,N/A,N/A
SrIrO3,1,-2.86,1.52,-0.75,-2.27
SrMoO3,1,-3.37,0.06,-3.54,-3.59
SrNbO3,1,-3.89,-0.42,-4.79,-4.37
SrPbO3,1,-0.7,2.95,1.56,-1.4
SrPdO3,1,-1.45,2.38,0.74,-1.64
SrReO3,1,-3.89,-0.09,-4.24,-4.16
SrScO3,1,-0.34,3.24,2.48,-0.75
SrSnO3,1,-0.7,3.13,1.41,-1.72
SrSnO3,2,-2.29,1.44,N/A,N/A
SrTaO3,1,-3.95,-0.6,-5.68,-5.08
SrTiO3,1,-0.72,2.69,1.03,-1.66
SrTlO3,1,-0.76,3,2.1,-0.91
SrWO3,1,-3.78,-0.39,-4.89,-4.5
SrYO3,1,-0.28,3.25,1.9,-1.35
SrZnO3,1,-0.79,3,2.48,-0.52
SrZrO3,1,-0.46,3.14,1.5,-1.64
YAlO3,2,-2.35,1.93,N/A,N/A
YRhO3,2,-3.02,0.92,N/A,N/A
CaAgO3*,1,-0.84,2.83,1.93,-0.9
CaAgO3*,2,-1.29,2.54,N/A,N/A
CaAlO3*,2,-1.76,2.25,N/A,N/A
CaAuO3*,1,-1.19,2.67,1.41,-1.26
CaBO3*,1,-1.94,1.91,N/A,N/A
CaBaO3*,2,-1.13,1.2,N/A,N/A
CaCuO3*,2,-1.46,2.48,N/A,N/A
CaGaO3*,2,-1.6,2.56,N/A,N/A
CaGeO3*,2,-2.64,1.13,N/A,N/A
CaInO3*,2,-1.06,2.88,N/A,N/A
CaIrO3*,1,-2.79,1.4,N/A,N/A
CaLaO3*,2,-0.98,2.49,N/A,N/A
CaPbO3*,1,-0.69,3.05,1.76,-1.3
CaPbO3*,2,-1.36,2.13,N/A,N/A
CaReO3*,1,-3.92,-0.06,N/A,N/A
CaRhO3*,1,-2.42,1.66,N/A,N/A
CaRhO3*,2,-2.51,1.65,N/A,N/A
CaScO3*,2,-0.92,2.73,N/A,N/A
CaSnO3*,1,-0.69,3.16,1.51,-1.65
CaSnO3*,2,-2.04,1.33,N/A,N/A
CaTaO3*,2,-5.13,-1.55,N/A,N/A
CaTeO3*,1,-1.43,2.04,N/A,N/A
CaTiO3*,2,-2.74,0.11,N/A,N/A
CaTlO3*,1,-0.74,3.04,2,-1.04
CaWO3*,1,-4,-0.49,N/A,N/A
CaYO3*,2,-0.64,2.79,N/A,N/A
CaZrO3*,1,-0.45,3.15,1.89,-1.27
CaZrO3*,2,-2.18,-0.88,N/A,N/A
LaAgO3*,1,-0.83,2.84,2.01,-0.83
LaAlO3*,2,-1.98,1.82,N/A,N/A
LaAsO3*,1,-1.73,2.16,N/A,N/A
LaAsO3*,2,-2.15,1.38,N/A,N/A
LaAuO3*,1,-1.18,2.57,1.5,-1.07
LaBO3*,2,-1.85,2.02,N/A,N/A
LaCaO3*,1,-0.43,3,0.39,-2.61
LaCdO3*,1,-0.52,3.19,2.26,-0.93
LaCoO3*,1,-1.85,1.88,0.09,-1.79
LaCoO3*,2,-2.47,1.44,N/A,N/A
LaCuO3*,2,-1.87,1.88,N/A,N/A
LaHfO3*,1,-2.89,0.01,N/A,N/A
LaHgO3*,1,-1.02,2.88,1.43,-1.45
LaIrO3*,2,-3.73,0.81,N/A,N/A
LaMgO3*,2,-0.98,2.82,N/A,N/A
LaNbO3*,1,-4.12,-0.94,N/A,N/A
LaNiO3*,2,-2.26,1.75,N/A,N/A
LaOsO3*,1,-3.46,0.41,-3.09,-3.5
LaOsO3*,2,-5.14,-0.22,N/A,N/A
LaPbO3*,1,-0.64,2.65,N/A,N/A
LaPdO3*,1,-1.36,2.42,0.67,-1.75
LaPdO3*,2,-2.06,1.6,N/A,N/A
LaPtO3*,1,-1.81,2.21,0.05,-2.16
LaPtO3*,2,-3.16,1.07,N/A,N/A
LaRhO3*,1,-2.23,1.73,-0.68,-2.41
LaRhO3*,2,-3.07,0.92,N/A,N/A
LaRuO3*,1,-2.47,1.31,-0.87,-2.17
LaRuO3*,2,-3.54,0.52,N/A,N/A
LaSiO3*,2,-4.26,-0.87,N/A,N/A
LaTaO3*,1,-4.26,-0.94,N/A,N/A
LaTaO3*,2,-4.8,-1.58,N/A,N/A
LaTlO3*,1,-0.68,3.07,1.83,-1.24
LaZnO3*,2,-1.78,2.17,N/A,N/A
LaZrO3*,1,-3.26,-0.3,N/A,N/A
SrAgO3*,2,-1.23,2.62,N/A,N/A
SrBO3*,2,-5.27,-0.6,N/A,N/A
SrGaO3*,2,-1.46,2.48,N/A,N/A
SrIrO3*,2,-3.62,1.41,N/A,N/A
SrNiO3*,2,-2.7,2.06,N/A,N/A
SrPbO3*,2,-1.37,2.24,N/A,N/A
SrReO3*,2,-4.52,-0.45,N/A,N/A
SrRhO3*,1,-2.27,1.86,N/A,N/A
SrRhO3*,2,-2.57,1.46,N/A,N/A
SrRuO3*,1,-2.31,1.38,-0.7,-2.08
SrSbO3*,1,-1.14,2.09,-0.79,-2.87
SrScO3*,2,-1.1,2.52,N/A,N/A
SrSiO3*,2,-3.32,0.17,N/A,N/A
SrTaO3*,2,-5.28,-2.06,N/A,N/A
SrTiO3*,2,-2.51,0.18,N/A,N/A
SrTlO3*,2,-1.07,2.62,N/A,N/A
SrYO3*,2,-0.7,2.81,N/A,N/A
SrZnO3*,2,-1.43,2.5,N/A,N/A
SrZrO3*,2,-2.46,-0.89,N/A,N/A
